"id";"Gamename";"Gamelink";"Gameinfo";"Gameimg"
1;"Fire Fall";"http://www.firefall.com/";"Firefall is a dynamic, open-world MMO shooter with limitless exploration of a vast future Earth, rewarding skilled players as they progress through a deep story. Players will be able to customize their character in a living world that constantly offers new challenges..";"img/firefall.jpg"
2;"Torch Light";"http://www.runicgames.com/torchlight2/";"Torchlight returns! The award-winning action RPG is back, bigger and better than ever. Torchlight II takes you once more into the quirky, fast-paced world of bloodthirsty monsters, bountiful treasures, and sinister secrets - and, once again, the fate of the world is in your hands.";"http://www.moregameslike.com/wp-content/uploads/2016/09/Torchlight-708x387.jpg"
3;"World of Warcraft - Legion";"https://worldofwarcraft.com/";"The Burning Legion surges into Azeroth in countless numbers while the warlock Gul’dan seeks the hidden remains of Illidan the Betrayer—the final component in a ritual to summon the Dark Titan Sargeras. As your world crumbles beneath the invasion, you must take up ancient artifact weapons of unbridled power and forge a forbidden pact with the vengeful demon hunters of the Illidari. For only you and your accursed allies can end the Legion’s apocalyptic ambitions and prevent Azeroth from falling beneath the Great Burning Shadow.";"img/wow.jpg"
4;"Warcraft III";"http://us.blizzard.com/en-us/games/war3/";"A generation before the events of World of Warcraft begin? Cunning, sinister, and seemingly unstoppable, the demonic Burning Legion prepare to launch their long-awaited assault on the mortal world. Survival is a matter of strategy, as the Reign of Chaos begins?????";"img/war3.jpg"
5;"Dark Souls III";"https://www.darksouls3.com/";"DARK SOULS™ III continues to push the boundaries with the latest, ambitious chapter in the critically-acclaimed and genre-defining series. 

As fires fade and the world falls into ruin, journey into a universe filled with more colossal enemies and environments. Players will be immersed into a world of epic atmosphere and darkness through faster gameplay and amplified combat intensity. Fans and newcomers alike will get lost in the game hallmark rewarding gameplay and immersive graphics. 
Now only embers remain… Prepare yourself once more and Embrace The Darkness!";"img/darksouls3.jpg"
6;"Minecraft";"https://minecraft.net/";"Minecraft is a game about placing blocks and going on adventures. Explore randomly generated worlds and build amazing things from the simplest of homes to the grandest of castles.  Play in Creative Mode with unlimited resources or mine deep in Survival Mode, crafting weapons and armor to fend off dangerous mobs. Do all this alone or with friends.";"img/minecraft.png"
7;"CS:GO";"http://blog.counter-strike.net/";"Counter-Strike: Global Offensive (CS: GO) will expand upon the team-based action gameplay that it pioneered when it was launched 14 years ago.

CS: GO features new maps, characters, and weapons and delivers updated versions of the classic CS content (de_dust, etc.). In addition, CS: GO will introduce new gameplay modes, matchmaking, leader boards, and more.";"img/csgo.png"
8;"NBA 2K 2017";"https://www.2k.com/games/nba-2k17";"Following the record-breaking launch of NBA 2K16, the NBA 2K franchise continues to stake its claim as the most authentic sports video game with NBA 2K17. As the franchise that “all sports video games should aspire to be” (GamesRadar), NBA 2K17 will take the game to new heights and continue to blur the lines between video game and reality.";"img/2K17.jpg"
9;"CIVILIZATION VI";"https://www.civilization.com/";"Sid Meier?s Civilization VI is the next entry in the award-winning Civilization franchise, which has sold in over 35 million units worldwide, including more than 8 million units of Civilization V.
Originally created by legendary game designer Sid Meier, Civilization is a turn-based strategy game in which you attempt to build an empire to stand the test of time. Become Ruler of the World by establishing and leading a civilization from the Stone Age to the Information Age. Wage war, conduct diplomacy, advance your culture, and go head-to-head with history?s greatest leaders as you attempt to build the greatest civilization the world has ever known.
Civilization VI offers new ways to engage with your world: cities now physically expand across the map, active research in technology and culture unlocks new potential, and competing leaders will pursue their own agendas based on their historical traits as you race for one of five ways to achieve victory in this game.";"img/civilization6.png"
10;"Banished";"http://www.shiningrocksoftware.com/game/";"Welcome to the world of Banished! In this city-building strategy game, you control a group of exiled travelers who decide to restart their lives in a new land. They have only the clothes on their backs and a cart filled with supplies from their homeland.  The objective of the game is to keep the population alive and grow it into a successful culture. Options for feeding the people include hunting and gathering, agriculture, trade, and fishing. However, sustainable practices must be considered to survive in the long term.";"img/Banished.jpg"
11;"Stone Hearth";"http://store.steampowered.com/app/253250/";"Stonehearth is a game of exploration and survival in an epic fantasy setting. Build your town, care for your hearthlings, and defend against marauding invaders.";"img/Stone Hearth.jpg"
12;"Star Craft";"http://us.battle.net/sc2/en/";"StarCraft II: Wings of Liberty is the long-awaited sequel to the original StarCraft, Blizzard Entertainment?s critically acclaimed sci-fi real-time strategy game. StarCraft II: Wings of Liberty is both a challenging single-player game and a fast-paced multiplayer game, and it also taps into Battle.net ? Blizzard Entertainment?s fully-featured online gaming service. So, what exactly is StarCraft II? Read on and find out";"https://bnetproduct-a.akamaihd.net//feb/210ee386b8b1fe1f1496af70c9008fa3-sc2-lotv-640x360-en.jpg"
13;"GTA5";"http://www.rockstargames.com/V/restricted_content/restricted_content_agegated/ref?redirect=http%3A%2F%2Fwww.rockstargames.com%2FV%2F";"Los Santos: a sprawling sun-soaked metropolis full of self-help gurus, starlets and fading celebrities, once the envy of the Western world, now struggling to stay afloat in an era of economic uncertainty and cheap reality TV.";"http://www.rockstargames.com/V/img/global/facebook/index-en_us-480.jpg"
14;"Star Bound";"http://playstarbound.com/";"In Starbound, you create your own story - there?s no wrong way to play! You may choose to save the universe from the forces that destroyed your home, uncovering greater galactic mysteries in the process,  or you may wish to forego a heroic journey entirely in favor of colonizing uncharted planets.";"http://cdn.akamai.steamstatic.com/steam/apps/211820/header.jpg?t=1478088622"
15;"Hearthstone";"http://us.battle.net/hearthstone/en/";"Sheathe your sword, draw your deck, and get ready for Hearthstone - the fast-paced strategy card game that's easy to learn and massively fun. Start a free game on Battle.net and play your cards to sling spells, summon creatures, and command the heroes of Warcraft in duels of epic strategy.";"http://blogs-images.forbes.com/insertcoin/files/2014/12/hearthstone1.jpg"
